,Y house price of unit area
192,42.7
234,23.9
5,32.1
45,38.3
245,40.8
346,30.8
195,34.6
382,29.3
400,35.5
296,34.1
3,54.8
18,42.3
250,30.0
60,21.3
390,38.6
408,28.1
63,55.0
261,24.4
297,28.5
113,7.6
248,22.3
326,62.1
410,50.0
391,31.3
352,25.7
132,37.5
237,39.0
108,34.1
101,32.9
193,49.3
29,57.1
307,24.7
386,55.3
305,55.0
114,53.3
247,23.1
75,29.5
268,40.1
148,45.1
16,70.1
66,50.7
341,37.0
7,46.7
194,29.3
19,47.7
176,19.2
367,20.9
304,29.4
198,39.1
145,45.5
265,38.1
109,28.4
202,31.5
196,36.6
396,31.9
239,29.7
83,17.7
168,37.4
323,42.5
74,54.4
383,40.3
119,59.6
209,40.9
219,40.2
153,40.9
177,42.0
387,25.6
371,51.7
36,22.9
139,42.5
338,36.3
172,58.1
211,43.5
332,39.6
59,42.4
111,39.4
284,34.4
325,38.1
6,40.3
299,46.1
285,55.3
158,39.4
150,48.5
10,41.4
331,15.6
103,45.7
81,36.8
278,44.0
258,63.3
167,43.4
388,27.3
223,42.3
229,19.0
181,55.9
227,40.2
89,25.3
389,67.7
163,55.5
147,43.2
246,40.6
92,21.8
69,42.0
123,45.5
96,59.5
143,40.1
362,40.0
97,34.6
249,15.0
68,36.2
23,47.9
37,25.3
144,28.4
122,32.5
228,46.6
182,23.6
67,56.8
340,42.9
244,21.7
394,24.7
384,12.9
329,19.2
210,52.2
125,48.6
146,52.2
289,44.5
86,27.0
412,52.5
220,78.3
349,47.0
327,36.7
356,45.3
314,41.6
183,18.8
218,43.8
294,38.1
333,38.4
392,35.3
129,41.0
38,47.7
11,58.1
280,45.4
185,21.5
281,44.8
112,23.1
179,42.6
301,35.7
366,24.8
337,30.9
117,13.0
381,47.3
287,32.9
398,23.0
298,16.7
233,32.4
375,23.8
255,17.4
164,55.2
354,30.1
136,46.8
154,20.7
199,31.6
197,48.2
406,40.5
2,47.3
232,17.4
204,26.6
115,46.4
253,25.9
321,37.7
26,56.2
120,31.3
318,49.8
224,46.0
334,22.8
277,27.7
127,55.0
342,53.5
107,26.6
395,42.5
133,39.5
302,23.2
44,53.9
380,53.3
65,44.3
85,50.8
242,33.4
186,25.7
159,37.4
12,39.3
35,27.3
28,47.0
170,14.4
142,37.5
403,39.7
312,78.0
221,38.5
95,51.8
51,20.7
240,28.8
310,24.7
316,42.0
178,36.7
41,18.2
322,33.1
206,44.0
282,25.6
254,51.8
393,40.3
4,43.1
256,26.5
370,42.1
100,38.2
226,12.8
353,31.3
213,58.0
171,58.8
98,51.0
292,24.5
215,48.1
61,63.2
47,61.5
32,34.2
267,41.1
200,25.5
368,43.1
27,33.6
324,31.3
230,33.4
260,30.7
288,51.0
162,11.6
351,28.6
138,43.5
62,27.7
135,20.8
128,60.7
8,18.8
64,25.3
300,36.9
14,34.3
156,18.3
40,15.9
379,69.7
335,36.5
216,39.7
279,31.1
357,44.9
236,61.9
207,34.2
212,31.1
295,21.8
377,56.8
251,13.8
404,41.2
378,37.4
303,38.4
269,23.0
201,45.9
161,39.6
43,34.1
217,40.8
190,42.3
309,19.1
259,28.8
105,71.0
53,38.9
1,42.2
49,13.2
80,40.3
205,21.4
34,55.1
263,31.7
91,43.2
339,50.4
52,27.0
345,37.9
264,40.6
241,41.4
13,23.8
315,27.3
88,48.0
273,29.3
166,73.6
328,23.6
407,22.3
134,42.2
306,50.2
397,32.2
319,26.9
243,48.2
54,51.7
363,48.0
50,44.2
174,45.2
189,20.5
411,40.6
187,22.0
169,23.5
58,22.6
48,13.4
344,41.2
235,39.3
252,52.7
21,51.6
313,42.8
160,57.8
276,34.0
191,37.8
385,46.6
293,42.5
343,46.6
257,43.9
308,53.0
149,39.7
130,37.5
151,44.7
359,24.7
99,62.2
372,41.5
87,18.3
330,12.8
214,20.9
121,48.0
413,63.9
20,29.3
188,44.3
71,40.8
106,47.1
270,117.5
348,53.7
102,54.4
